Datetime,Tweet Id,Text,Username
2021-07-30 23:52:14+00:00,1421257357514915842,@GingeUnhinge Actually its me but stoic and expressionless and then me singing Sell Yourself by Cage The Elephant and getting way too into it,TheAngryGamer01
2021-07-30 23:42:52+00:00,1421255002937430016,"Every 26 minutes, an African elephant is poached for its ivory. Our ranger teams are challenging you to complete 26 pushups in 26 seconds… do you have what it takes?  

Tag us in your pushup challenges and nominate a friend in the comments! What are you #RangerStrongFor? https://t.co/kpzeiN3y2T",ifawAU
2021-07-30 23:30:12+00:00,1421251814364745735,"@comradebirb The CIA is the humongous bull elephant in the room. It's the monster in the closet of our haunted disney mansion. No public discourse, no transparency, no accountability,  practically no mention of its existence. It violates every illusion of moral righteousness in the US.",Zetetes_MS
2021-07-30 23:03:28+00:00,1421245085220540419,#pointpleasantbeach this thing is in point pleasant nj it’s 4 bucks to cut a string that hangs the elephant … fun look in to its eyes LOOK IN TO ITS EYESSSSSSsssss… #elephant #wwf @ Jenkinson's Boardwalk https://t.co/ARn5e6mMAA,WTFDIE
2021-07-30 22:53:18+00:00,1421242526602862593,"@writethewrongs2 Its probably the most insane, out of date expensive white elephant in history.",mumf14
2021-07-30 22:28:26+00:00,1421236269699538948,"@conorduffy_7 ""The Kamijinko was constructed in 1635 and the designs for its sculptures were commissioned to the famed painter Kanō Tan’yū. Tan’yū however, had never seen an elephant before. He had no choice but to design the animals according to readings and from word of mouth descriptions"" https://t.co/0HFTPetpSh",socio_steve
2021-07-30 22:11:29+00:00,1421232001852612610,@katiehobbs @anniewise67 Breaking News: The Arizona Republican Party @AZGOP  has changed its mascot from an elephant to ... https://t.co/iqmMdN5XXs,joepolitics4
2021-07-30 21:31:44+00:00,1421221998974410761,"madeleineengland: Erawan Museum - Bangkok, Thailand Erawan Museum is a beautiful museum in Samut Prakan Province, Thailand. It is well known for its giant three-headed elephant art sculpture as exterior. The three storeys inside the elephant... https://t.co/7ks1IuqSBb",deathgarigari
2021-07-30 21:03:07+00:00,1421214796909748229,Imagine ur a Indian nigga goin to war in like 1750 and u look up and see 100 giant fucking African elephants with niggas on the back wit muskets and the elephant had swords in place of its tusks and heavy armor 😐😐😐😐😐 like my nigga?? No way I quit cuhz put that shit on ALLAh,Mac3time
2021-07-30 20:48:07+00:00,1421211021650300930,"GiffordsCourage: Us: The NRA can’t go any lower.

Wayne LaPierre: Hold my decorative elephant feet.

The NRA isn’t concerned with gun owners, the Second Amendment, or even following its own rules. It only exists to enrich a handful of corrupt executives.
https://t.co/R2PWK0yQoB",1032shotsfired
2021-07-30 20:46:00+00:00,1421210492052377602,"Us: The NRA can’t go any lower.

Wayne LaPierre: Hold my decorative elephant feet.

The NRA isn’t concerned with gun owners, the Second Amendment, or even following its own rules. It only exists to enrich a handful of corrupt executives.
https://t.co/WAAadrRtZT",GiffordsCourage
2021-07-30 20:40:43+00:00,1421209160717381633,"It apparently has been a few days (12), so lets give you some Animal Crossing: New Horizons news:

Let us finally answer who joined our island after Simon left: Its Frauke / Eloise, the snooty elephant.
I must admit that I only got her because I could reduce my lazies from 3 -&gt; 2 https://t.co/8FNDK5owFy",ForceCommander
2021-07-30 20:03:43+00:00,1421199848750059523,an elephant doesn’t know the importance of its tail till it cut off https://t.co/ahA798CvEq,Chinweoke_
2021-07-30 19:26:13+00:00,1421190414275469314,"@scalzi ""If you had to choose between an elephant or its poacher, which would you choose?""

A solid supermajority of the people I follow on Twitter would /cheer the elephant on/. I know I would.",NoCatsNoMasters
2021-07-30 19:18:07+00:00,1421188373234999296,"@TheFemBat_ I mean, I'm not actually *watching* so I think this counts... 🤭

[ID: my laptop, playing the Soul Music Discworld cartoon. The screen shows a huge turtle in space, with 4 elephants on its back, and a disk on their backs which resembles a flat earth.]. https://t.co/kwFtd2HQeg",triniteeny
2021-07-30 18:58:35+00:00,1421183458878107654,"@goodpostguy6465 I sort of regard that as its own separate problem, though it is definitely the major elephant in the room.

But among the sane, you still see confusion along the lines of ""if the vax works, why do I need a mask?"". Everything either ""works"" or it doesn't. No room for nuance.",mosheroperandi
2021-07-30 18:17:21+00:00,1421173080420933633,"(1) Ok. Elephant in the current room! Reservations for Medical seats. Let’s do this. 
As always, first things first. This thread is purely my opinion. And its VERY LIKELY that I may not have thought of, or worse, overlooked relevant factors from both the sides of this debate.",parija_d
2021-07-30 18:05:26+00:00,1421170082940661763,its been the same elephant in the room since the season began CAN LIBBYS SISTERS LET IT GOOOOOOOOO #90DayFianceHappilyEverAfter,DDARERICK
2021-07-30 17:16:56+00:00,1421157877364969477,@yomamaszn Bro u know how u see a horse for the first time and its larger than u expected... camels b reaching ELEPHANT height like theres no reason they should be like that,oluwatoji
2021-07-30 17:16:05+00:00,1421157664273338378,Sexual abuse exist in every single family if not your immediate family your extended one its the elephant in the room because everybody knows it’s happening but nobody says anything and ignores that it’s there,ZaNeter_
2021-07-30 16:50:30+00:00,1421151223915364354,"Take the elephant by the hand and hold it
It's cruel to tame a thing that don't know its strength
But better to walk beside it
Than underneath",pfa_bot
2021-07-30 16:44:54+00:00,1421149817074552836,"@MamoyoT Murikunzi improve relations maakuti elephant in the room this guy sees what many of us see n its what u cant see n thats the greatest tragedy for Chamisa,his achilles hill nomatter what he does without those guys forget it,he must win it n lead in his dreams otherwise hazvibudi😂",dominictb1983
2021-07-30 16:44:52+00:00,1421149805900877829,@LeeHoop97115676 Thats called graphite heather.  I should get my sample in a week or so but i would say its a darker grey.  The sports grey  (Attenborough elephant) is a mid grey.  Or the amur tiger 450 design is a light ash grey.  Were you looking for a similar colour to the hoodies?,ACallForNature1
2021-07-30 16:37:49+00:00,1421148033295736845,"@workingdog_ you will, however, have to immobilize the animal with ropes so it can't walk away, fill in the space between its legs with leaves so there aren't holes in the wall, and, if it isn't an elephant, suspend it with ropes so that it doesn't fall over if it *does* happen to die",nonstandardrep
2021-07-30 16:22:28+00:00,1421144169670709253,@Duruhta I noticed the elephants it is lifting... what is the other animal in its beak though?,dalaygiz
2021-07-30 16:21:07+00:00,1421143831085518995,"The Strokes accomplish a disappearing elephant in the form of a coin trick.
Is This It is 35 minutes, uses five instruments, and its mixing is so compressed it seemed artificial on purpose. It’s fireworks disguised as firecrackers.",smack_tweets
2021-07-30 16:00:26+00:00,1421138627493519361,"A local animal rescue group in China recovered an injured baby elephant left behind by the Asian elephant herd making its way through China. Here is the current condition of the baby. 

https://t.co/GdQ8vcZRKY  

#BabyElephant #AsianElephant",ForElephants_
2021-07-30 15:29:42+00:00,1421130892894826496,"sir @major_madhan i asked you this question&amp; now a veteran is tweeting the same, its not belittling can you able to make a program what OFB,HAL do,ordinary citizens think they are manufacturing rather these ppls are good assemblers&amp;eating out tax payers money like white elephant https://t.co/TBcMSTIFlU",itzraviengr
2021-07-30 15:18:11+00:00,1421127993146200073,"@TarekFatah Even India doesn't belong to Hindus, the word ""Hindu"", where did it come from?
MUSLIMS ruled India for 1000 years and developed its infrastructure and taught those half naked people how to live. They had nothing besides a few elephants and you're praising them. Bloody slaves!",SuperrYasir
2021-07-30 15:16:17+00:00,1421127514508890113,"Every 26 minutes, an elephant is poached for its ivory. The difference between life &amp; death for these animals is often a wildlife ranger.

Our ranger teams are challenging you to complete 26 pushups in 26 seconds... can you do it? Complete the challenge &amp; tag us in your videos! https://t.co/B5nbgmHmBl",ifawglobal
2021-07-30 15:14:59+00:00,1421127187797786625,"A year ago, the UK Ivory Act passed its final legal hurdle, but it's yet to be implemented

🐘 In that time, about 8,750kg of #ivory was seized worldwide - at least 875 to 1,325 individual animals

🐘 #Elephants don't have time for our delays

https://t.co/aIqvvvyJ9L @DefraGovUK https://t.co/Se90Q8DrRe",EIA_News
